size,bubble,insertion,selection
100,0.2341,0.1821,0.1963
200,0.9040,0.6844,0.7616
300,2.0532,1.6254,1.6954
400,3.6103,2.8699,3.0190
500,5.7835,4.4966,4.7507
600,8.0549,6.0996,6.8376
700,10.9769,8.2941,9.2248
800,14.3362,11.1200,11.8765
900,18.2116,14.5456,15.0222
1000,22.3888,16.9061,18.5311
1100,27.5257,21.3481,22.4303
1200,32.2910,25.2237,26.6552
1300,37.7618,29.2964,31.3004
1400,43.9901,34.9689,36.2359
1500,50.3503,39.5095,41.6308
1600,57.1336,44.9778,48.5256
1700,64.2833,49.7107,53.4662
1800,72.2257,56.4045,59.8987
1900,80.6056,61.4675,66.9760
2000,88.4554,67.5460,73.9807
