size,bubble,insertion,selection
100,0.2853,0.3480,0.1913
200,1.1316,1.3933,0.7523
300,2.5332,3.1253,1.6752
400,4.4974,5.5913,3.0934
500,7.1483,8.7589,4.6663
600,10.1921,12.6856,6.6764
700,13.8548,17.2417,9.0759
800,18.0085,22.5361,11.8481
900,22.9204,28.2434,14.9634
1000,28.3231,34.8271,18.4970
1100,34.1663,42.1950,22.3798
1200,40.8743,50.0964,26.6364
1300,47.6459,58.8373,31.2274
1400,55.2414,68.2595,36.1873
1500,63.5400,78.4059,41.6423
1600,72.3277,89.2412,47.3785
1700,81.4981,100.8099,53.4440
1800,91.3522,113.0405,59.8551
1900,101.9674,126.0761,66.7505
