size,bubble,insertion,selection
100,0.1736,0.0050,0.1908
200,0.6910,0.0102,0.7477
300,1.5523,0.0147,2.1193
400,2.7321,0.0199,2.9662
500,4.3130,0.0245,4.6916
600,6.2448,0.0294,6.7079
700,8.6443,0.0343,9.0672
800,11.1454,0.0391,11.9809
900,13.9159,0.0440,15.0407
1000,17.2003,0.0489,18.5356
1100,21.0066,0.0538,22.4010
1200,24.9522,0.0601,26.5965
1300,29.2257,0.0635,31.3609
1400,33.7588,0.0684,36.1941
1500,38.7270,0.0733,41.5358
1600,44.1570,0.0781,47.2253
1700,49.7883,0.0830,53.3138
1800,55.6949,0.0879,59.7656
1900,62.2464,0.0929,66.6882
2000,68.6274,0.0979,73.6054
