size,thread1,thread2,thread4,thread8,thread16,thread32,thread64
100,0.0198,0.0326,0.0480,0.0600,0.0579,0.0521,0.0739
200,0.5801,0.0808,0.0768,0.0784,0.0805,0.0793,0.2336
300,0.6798,0.2791,0.2673,0.2661,0.2626,0.2608,0.2959
400,1.3757,0.6953,0.6106,0.6178,0.6166,0.6377,0.6393
500,2.7741,1.4006,1.2142,1.2408,1.2327,1.2748,1.3683
600,4.9342,2.5748,2.1330,2.1516,2.1663,2.2405,2.2287
700,8.1183,4.3020,3.5571,3.5634,3.6199,3.7177,3.9012
800,12.4279,6.5367,5.4672,5.5282,5.5552,5.5068,5.7741
900,18.2714,9.4057,8.0896,8.2161,8.2604,8.2606,8.1459
1000,25.8421,12.9612,11.1452,11.4822,11.6378,11.6719,12.0267
